Surname,#ofAwards,Education
Atta,7,Khan was a Bright Sparks scholar and received his PhD degree in Computer Science from University of Malaya. He received his Masters and Bachelor's degree (with honors) in Computer Science from COMSATS University under COMSATS scholarship. He has also attended a summer camp on Advance Wireless Networks at Technische Universitat Ilmenau under DAAD scholarship.
Abelson,5,"Abelson graduated with a Bachelor of Arts degree in mathematics from Princeton University in 1969 after completing a senior thesis, on Actions with fixed-point set: a homology sphere , supervised by William Browder ."
Abiteboul,3,"The son of two hardware store owners, Abiteboul attended high-school in Romorantin , and Higher School Preparatory Classes in Tours . He was admitted to the Telecom Paris engineering school and studied at the Technion in Haifa for a year."
Abramsky,6,"Abramsky was educated at Hasmonean Grammar School for Boys , Hendon and at King's College, Cambridge (BA 1975, MA Philosophy 1979, Diploma in Computer Science) and Queen Mary, University of London (PhD Computer Science 1988, supervised by Richard Bornat )."
Anderson,0,"Anderson received a BA in mathematics from Wesleyan University , and MS and PhD degrees in mathematics and computer science from the University of Wisconsina Madison . While in graduate school he published four research papers in computer graphics. His PhD research involved using enhanced attribute grammars to specify and implement communication protocols."
Anthony,6,"Lisa Anthony earned her B.S. and M.S. in computer science with official concentrations in artificial intelligence, human-computer Interaction, and software engineering at Drexel University. Her M.S. thesis involved using genetic programming to evolve board evaluation functions for the strategy board game Acquire."
Aragon,0,"Aragon received her B.S. in mathematics from the California Institute of Technology in 1982, her M.S. from the University of California, Berkeley in 1987 and, her Ph.D. in computer science from the same institution in 2004. For her doctoral studies, Aragon worked under the direction of Marti Hearst ."
Atre,0,"She earned a Master of Science from the University of Poona, studying mathematics and statistics."
Barto,3,"Barto received his B.S. with distinction in mathematics from the University of Michigan in 1970, after having initially majored in naval architecture and engineering."
Blum,4,"Blum was born to a Jewish family in Venezuela. Blum was educated at MIT, where he received his bachelor's degree and his master's degree in electrical engineering in 1959 and 1961 respectively, and his Ph.D. in mathematics in 1964 supervised by Marvin Minsky."
Booch,2,"Booch earned his bachelor's degree in 1977 from the United States Air Force Academy and a master's degree in electrical engineering in 1979 from the University of California, Santa Barbara ."
Booth,0,"Kathleen Britten was born in Stourbridge, Worcestershire, England, on 9 July 1922. She obtained a BSc in mathematics from the University of London in 1944 and went on to get a PhD in Applied Mathematics in 1950. She married her colleague Andrew Donald Booth in 1950 and had two children."
Bowen,2,"Bowen was born in Oxford , the son of Humphry Bowen , and was educated at the Dragon School , Bryanston School , prior to his matriculation at University College, Oxford ( Oxford University ) where he received the MA degree in Engineering Science ."
Brown,0,"Brown received his primary and secondary school education in Delmar, New York , and then studied at the University of Pennsylvania , Moore School of Electrical Engineering where he received a B.S.E. degree in 1979 and an M.S.E. under advisor Ruzena Bajcsy in 1980."
Brooks,4,"Born on April 19, 1931, in Durham, North Carolina, he attended Duke University, graduating in 1953 with a Bachelor of Science degree in physics, and he received a Ph.D. in applied mathematics (computer science) from Harvard University in 1956, supervised by Howard Aiken."
Cardelli,3,"He was born in Montecatini Terme, Italy. He attended the University of Pisa before receiving his Doctor of Philosophy (PhD) from the University of Edinburgh in 1982.Before joining the University of Oxford in 2014, and Microsoft Research in Cambridge, UK in 1997, he worked for Bell Labs and Digital Equipment Corporation, and contributed to Unix software including vismon."
Chou,0,Chou studied computer science at Stanford University with a specialization in machine learning and artificial intelligence.
Cristianini,2,"Cristianini holds a degree in physics from the University of Trieste, a Master in computational intelligence from the University of London and a PhD in 2000 under Colin Campbell from the University of Bristol, with a thesis titled Large margin strategies for machine learning . Previously he has been an associate professor at the University of California, Davis, and held visiting positions at other universities."
Comer,8,Comer holds a BS in Mathematics and Physics from Houghton College earned in 1971 and a PhD in Computer Science from Pennsylvania State University earned in 1976.
Croft,8,"Croft earned a bachelor's degree with honors in 1973 and a master's degree in computer science in 1974 from Monash University in Melbourne, Australia. He earned his Ph.D in computer science from the University of Cambridge in 1979 and joined the University of Massachusetts, Amherst faculty later that year."
Dean,0,"Dean received a B.S., summa cum laude, from the University of Minnesota in computer science and economics in 1990. He received a Ph.D. in computer science from the University of Washington in 1996, working under Craig Chambers on compilers and whole-program optimization techniques for object-oriented programming languages. He was elected to the National Academy of Engineering in 2009, which recognized his work on ""the science and engineering of large-scale distributed computer systems""."
Dewar,0,"Dewar attended the University of Chicago, earning a Bachelor of Science (B.S.) in 1964, and a Doctor of Philosophy (Ph.D.) in chemistry in 1968."
Dongarra,9,"Dongarra received a BSc degree in Mathematics from Chicago State University in 1972 and a MSc degree in Computer Science from the Illinois Institute of Technology in 1973. In 1980, he received PhD in Applied Mathematics from the University of New Mexico under the supervision of Cleve Moler."
Draper,6,"He attended the University of Missouri in 1917, then transferred to Stanford University, California in 1919, from which he earned a B.A. in psychology in 1922. He matriculated at MIT in 1922, earning a Bachelor of Science degree in electrochemical engineering (1926), and Master of Science (1928), and a Doctor of Science (1938) degrees in physics."
Dunn,11,"He obtained an A.B. in Philosophy from Oberlin College and a Ph.D. in Philosophy (Logic) from the University of Pittsburgh, where he wrote his dissertation, The Algebra of Intensional Logics."
Easley,0,"Before the Civil Rights Movement , educational and career opportunities for African-American children were very limited . Segregation was prevalent, African-American children were educated separately from white children, and their schools were often inferior to white schools. Annie's mother told her that she could be anything, but she would have to work at it. She encouraged Annie to get a good education. From the fifth grade through high school, Annie attended Holy Family High School , and was valedictorian of her graduating class. At a young age Annie had interest in becoming a nurse, but around the age of 16 she decided to study pharmacy."
Eckert,0,"Eckert initially enrolled in the University of Pennsylvania's Wharton School to study business at the encouragement of his parents, but in 1937 transferred to Penn's Moore School of Electrical Engineering."
Edelman,7,"An alumnus of Hampshire College Summer Studies in Mathematics, Edelman received B.S. and M.S. degrees in mathematics from Yale University in 1984, and a Ph.D. in applied mathematics from MIT in 1989 under the direction of Lloyd N. Trefethen."
Emeagwali,0,"He traveled to the United States to study under a scholarship following completion of a correspondence course at the University of London. He received a bachelor's degree in mathematics from Oregon State University in 1977. He later moved to Washington D.C., receiving in 1986 a master's degree from George Washington University in ocean and marine engineering, and a second master's in applied mathematics from the University of Maryland."
Engelbart,0,"Engelhardt received a Bachelor of Science in Symbolic Systems and a Master of Science in Computer Science from Stanford University. She received a PhD in 2008 from the University of California, Berkeley supervised by Michael I. Jordan."
Finin,8,Finin earned an undergraduate degree in Electrical Engineering from MIT in 1971 and a PhD in Computer Science from the University of Illinois at Urbana–Champaign in 1980.
Fischer,8,"She obtained both a B.A. degree, with honors, in Mathematics and Chemistry and an M.A. degree in Applied Mathematics from the University of British Columbia in 1952 and 1954, respectively. She then obtained her Ph.D. in Applied Mathematics and Computing at Cambridge University in 1957, pursuing coursework in quantum theory with Paul Dirac. "
Forbus,0,"Forbus earned a Bachelor of Science in computer science, Master of Science in computer science, and PhD in artificial intelligence from the Massachusetts Institute of Technology ."
Galler,0,"Galler attended the University of Chicago where he earned a B.Sc. in mathematics at the University of Chicago (1947), followed by a M.Sc. from UCLA and a Ph.D. from the University of Chicago (1955), advised by Paul Halmos and Marshall Stone."
Ghahramani,1,"Ghahramani was educated at the American School of Madrid in Spain and the University of Pennsylvania where he was awarded a double major degree in Cognitive Science and Computer Science in 1990. He obtained his Ph.D. from the Department of Brain and Cognitive Sciences at the Massachusetts Institute of Technology, supervised by Michael I. Jordan and Tomaso Poggio."
Ghemawat,1,"Ghemawat studied at Cornell University and the Massachusetts Institute of Technology (MIT). He obtained a PhD from MIT in 1995, with a dissertation titled, The Modified Object Buffer: A Storage Management Technique for Object-Oriented Databases."
Gilbert,5,"Ph.D., University of Cincinnati, Cincinnati, Ohio, 2000 (Computer Science); dissertation: ""Arthur: An Intelligent Tutoring System with Adaptive Instruction"""
Gohel,0,"Gohel has received his Ph.D. in computer science from University of Hertfordshire, England in 2015. He has received his bachelor's and master's degree in computer science from Saurashtra University and Sardar Patel University, India."
Gold,0,"In 1956, he got a B.S. in mathematics from the California Institute of Technology, in 1958, he got a M.S. in physics from Princeton University. In Jan 1965, got his Ph.D. from UCLA, supervised by Abraham Robinson."
Goldberg,0,"In 1995, he received a B.Math from the University of Waterloo in pure mathematics and computer science. He obtained a Ph.D. from the University of California, Berkeley in December 2000."
Goldsmith,0,"Goldsmith graduated from Princeton University in 1982, with a bachelor's degree in mathematics. She completed her Ph.D. at the University of Wisconsin–Madison in mathematics (with a minor in computer science) in 1988. "
Goodfellow,0,"Goodfellow obtained his B.S. and M.S. in computer science from Stanford University under the supervision of Andrew Ng (co-founder and head of Google Brain), and his Ph.D. in machine learning from the Universite de Montreal in April 2014, under the supervision of Yoshua Bengio and Aaron Courville."
Guha,0,"Guha did his schooling from Loyola High School , Pune and graduated with Bachelor of Technology in Mechanical Engineering from the Indian Institute of Technology Madras , Master of Science from University of California, Berkeley and Ph.D from Stanford University ."
Hendler ,0,"Hendler completed his Doctor of Philosophy degree at Brown University in 1986 with a thesis on automated planning and scheduling.He also has an MS (1981) in Cognitive Psychology from Southern Methodist University, a MSc (1983) from Brown University, and a BS (1978) from Yale University."
Hinton,8,"Hinton was educated at King's College, Cambridge , graduating in 1970 with a Bachelor of Arts in experimental psychology. He continued his study at the University of Edinburgh where he was awarded a Ph.D. in artificial intelligence in 1978 for research supervised by Christopher Longuet-Higgins ."
Hopcroft,8,"He received his bachelor's degree from Seattle University in 1961. He received his master's degree and Ph.D. from Stanford University in 1962 and 1964, respectively. He worked for three years at Princeton University and since then has been at Cornell University . Hopcroft is the grandson of Jacob Nist , founder of the Seattle-Tacoma Box Company ."
Huffman ,1,"Huffman earned his bachelor's degree in electrical engineering from Ohio State University in 1944. Then, he served two years as an officer in the United States Navy. He returned to Ohio State to earn his master's degree in electrical engineering in 1949. "
Ingalls ,5,"Ingalls received his Bachelor of Arts (B.A.) in physics from Harvard University, and his Master of Science (M.S.) in electrical engineering from Stanford University. While working toward a Doctor of Philosophy (Ph.D.) at Stanford, he started a company to sell a software measurement invention that he perfected, and never returned to academia."
Irwin,3,"Mary Jane Irwin received her B.S. in Mathematics from Memphis State University in 1971, and her M.S. and Ph.D. in Computer Science from the University of Illinois in 1975 and 1977, respectively. Her dissertation research on the topic of computer arithmetic was supervised by Dr. James Robertson."
Iverson,4,"Iverson began school on 1 April 1926 in a one-room school , initially in Grade 1, promoted to Grade 2 after 3 months and to Grade 4 by the end of June 1927.He left school after Grade 9 because it was the depths of the Great Depression and there was work to do on the family farm , and because he thought further schooling only led to becoming a schoolteacher and he had no desire to become one. At age 17, while still out of school, he enrolled in a correspondence course on radios with De Forest Training in Chicago, and learned calculus by self-study from a textbook. During World War II , while serving in the Royal Canadian Air Force , he took correspondence courses toward a high school diploma."
Jain,0,"He graduated with a bachelor's degree from Visvesvaraya National Institute of Technology , Nagpur , India and has a Ph.D. in electronics engineering (1975) from Indian Institute of Technology, Kharagpur , India ."
Jordan,5,"Jordan received his BS magna cum laude in Psychology in 1978 from the Louisiana State University , his MS in Mathematics in 1980 from Arizona State University and his PhD in Cognitive Science in 1985 from the University of California, San Diego. At the University of California, San Diego, Jordan was a student of David Rumelhart and a member of the Parallel Distributed Processing (PDP) Group in the 1980s."
Jurafsky ,2,"Jurafsky received his B.A in linguistics (1983) and Ph.D. in computer science (1992), both at University of California, Berkeley; and then a postdoc at International Computer Science Institute, Berkeley (1992–1995)."
Karger,0,Karger received a Bachelor of Arts degree from Harvard University and a PhD in computer science from Stanford University .
Knuth,13,"Knuth received a scholarship in physics to the Case Institute of Technology (now part of Case Western Reserve University ) in Cleveland , Ohio, enrolling in 1956. He also joined the Beta Nu Chapter of the Theta Chi fraternity . While studying physics at Case, Knuth was introduced to the IBM 650 , an early commercial computer . After reading the computer's manual, Knuth decided to rewrite the assembly and compiler code for the machine used in his school, because he believed he could do it better."
Koller,5,"Koller received a bachelor's degree from the Hebrew University of Jerusalem in 1985, at the age of 17, and a master's degree from the same institution in 1986, at the age of 18. She completed her PhD at Stanford in 1993 under the supervision of Joseph Halpern ."
Kolodner,1,Kolodner graduated with a Bachelor of Arts degree in math and computer science from Brandeis University in 1976. She then completed her Master of Science degree in computer science in 1977 and her PhD in computer science in 1980 from Yale University .
Kowalski,1,"He was educated at the University of Chicago , University of Bridgeport (BA in mathematics, 1963), Stanford University (MSc in mathematics, 1966), University of Warsaw and the University of Edinburgh (PhD in computer science , 1970)."
Lattner,2,"Lattner studied computer science at the University of Portland , graduating in with a Bachelor of Science degree in 2000. While in Oregon , he worked as an operating system developer, enhancing Sequent Computer Systems 's DYNIX/ptx . He moved to the University of Illinois at Urbana-Champaign where he was awarded a Master of Science degree in 2002, followed by a PhD in 2005 for research on optimizing pointer-intensive programs , supervised by Vikram Adve ."
Liedtke,0,"In the mid-1970s Liedtke studied for a diploma degree in mathematics at the Bielefeld University . His thesis project was to build a compiler for the programming language ELAN , which had been launched for teaching programming in German schools. citation needed ] The compiler was written in ELAN."
Lovelace,0,"From 1832, when she was seventeen, her mathematical abilities began to emerge, and her interest in mathematics dominated the majority of her adult life. Her mother's obsession with rooting out any of the insanity of which she accused Byron was one of the reasons that Ada was taught mathematics from an early age. She was privately educated in mathematics and science by William Frend , William King , and Mary Somerville, the noted 19th-century researcher and scientific author. In the 1840s, the mathematician Augustus De Morgan extended her ""much help in her mathematical studies"" including study of advanced calculus topics including the "" numbers of Bernoulli "" (that formed her celebrated algorithm for Babbage's Analytical Engine). In a letter to Lady Byron, De Morgan suggested that Ada's skill in mathematics might lead her to become ""an original mathematical investigator, perhaps of first-rate eminence""."
Maulik,0,"Subsequently, he completed B.Sc. in Physics and B. Tech. in Computer Science from University Of Calcutta, Kolkata, West Bengal, India in 1986 and 1989. He also received his M. Tech. in Computer Science and Ph.D. in Engineering in 1992 and 1997 at Jadavpur University, Kolkata, West Bengal, India. "
McCarthy ,6,"McCarthy initially completed graduate studies at Caltech before moving to Princeton University. He received a PhD in mathematics from Princeton in 1951 after completing a doctoral dissertation, titled ""Projection operators and partial differential equations"", under the supervision of Donald C. Spencer."
Mockapetris ,4,"Mockapetris graduated from the Boston Latin School in 1966, received his bachelor's degrees in physics and electrical engineering from the Massachusetts Institute of Technology in 1971 and his doctorate in information and computer science from the University of California at Irvine in 1982."
Moon,0,"Moon's best subjects in school were Mathematics , Science and English . After he graduated high school with honors, he enrolled at Pennsylvania State University where he received a degree in mechanical engineering in 1960. After graduating from there he decided to further pursue his education and get his masters from New York University (NYU) where he continued his studies in engineering."
Moore,11,"Moore was born in San Francisco , California , and grew up in nearby Pescadero , where his father was the county sheriff. He attended San Jose State University for two years before transferring to the University of California, Berkeley , where he received a B.S. degree in chemistry in 1950."
Motwani,1,"Rajeev Motwani was born in Jammu , Jammu and Kashmir , India on March 24, 1962, into a Sindhi Hindu family and grew up in New Delhi . His father was in the Indian Army . He had two brothers. As a child, inspired by luminaries like Gauss , he wanted to become a mathematician .Motwani went to St Columba's School, New Delhi . He completed his B.Tech. in Computer Science from the Indian Institute of Technology Kanpur in Kanpur , Uttar Pradesh in 1983 and got his Ph.D. in Computer Science from the University of California, Berkeley in Berkeley , California , United States in 1988, under the supervision of Richard M. Karp ."
Muggleton,4,Muggleton received his Bachelor of Science degree in computer science (1982) and Doctor of Philosophy in artificial intelligence (1986) supervised by Donald Michie at the University of Edinburgh .
Mycroft,0,Mycroft read mathematics at Cambridge then moved to Edinburgh where he completed his Doctor of Philosophy degree with a thesis on Abstract interpretation and optimising transformations for applicative programs supervised by Rod Burstall and Robin Milner .
Myers,4,"Myers received his BS degree in Computer Science and MS degree in Computer Science and Engineering under MIT in 1980, whilst simultaneously interning at Xerox Parc for his Master's thesis. He then received his PhD in Computer Science from the University of Toronto in 1987."
